month,n_applications,accuracy,auc,approval_rate,score_psi,income_psi,debt_to_income_psi,max_psi,drift_flag,approval_rate_majority,approval_rate_minority,approval_disparity,fpr_majority,fpr_minority,fpr_gap_abs,fnr_majority,fnr_minority,fnr_gap_abs
1,900,0.6511111111111111,0.7204382375615251,0.36666666666666664,0.021193472679651625,0.028771176348636185,0.013814743628914446,0.028771176348636185,False,0.456198347107438,0.18305084745762712,0.2731474996498109,0.30313588850174217,0.09142857142857143,0.21170731707317075,0.4056603773584906,0.6833333333333333,0.27767295597484276
2,900,0.6277777777777778,0.7083076892533104,0.3388888888888889,0.05690588756552281,0.020080394443921012,0.025358723993978094,0.05690588756552281,False,0.41983471074380163,0.17288135593220338,0.24695335481159825,0.2966666666666667,0.12087912087912088,0.1757875457875458,0.45901639344262296,0.7433628318584071,0.28434643841578416
3,900,0.6966666666666667,0.7528499587256088,0.33111111111111113,0.10750614871543844,0.033662244099167876,0.05831950703845656,0.10750614871543844,True,0.4012738853503185,0.16911764705882354,0.23215623829149495,0.2507462686567164,0.06451612903225806,0.18623013962445834,0.42662116040955633,0.6046511627906976,0.1780300023811413
4,900,0.6688888888888889,0.7229515075226278,0.31777777777777777,0.07881423405037667,0.037555374309043286,0.09355695829627166,0.09355695829627166,False,0.375609756097561,0.19298245614035087,0.1826272999572101,0.21362229102167182,0.12571428571428572,0.0879080053073861,0.4452054794520548,0.7,0.25479452054794516
5,900,0.6922222222222222,0.752705129444323,0.2644444444444444,0.1606081489774896,0.04473559750172797,0.15218229418405668,0.1606081489774896,True,0.32794830371567046,0.12455516014234876,0.20339314357332172,0.1783625730994152,0.05405405405405406,0.12430851904536114,0.48736462093862815,0.7395833333333334,0.2522187123947052
6,900,0.6522222222222223,0.709288139728757,0.2388888888888889,0.23274652877889654,0.13508321666183354,0.2614369700902511,0.2614369700902511,True,0.30449251247920134,0.10702341137123746,0.1974691011079639,0.189873417721519,0.08095238095238096,0.10892103676913804,0.5684210526315789,0.8314606741573034,0.26303962152572447
